categoria,producto,precio
Smoothies,Mango naranja,16000
Smoothies,Fresa naranja limón,16000
Smoothies,Fresa naranja banano,16000
Smoothies,Piña naranja mora,16000
Smoothies,Piña naranja banano,16000
Cervezas,BBC,12000
Cervezas,3 Cordilleras,12000
Cervezas,Club Colombia,9000
Cervezas,Corona,12000
Cervezas,Stella,12000
Cócteles,Colimocho,28000
Cócteles,Tinto de verano,26000
Cócteles,Mojito,27000
Cócteles,Cuba libre,26000
Cócteles,Muller,25000
Cócteles,Margarita,26000
Sangría,Copa sangría,25000
Sangría,Jarra x2,40000
Sangría,Jarra x5,70000
Vino,Vino casa,20000
Vino,Vino rosado,22000
Vino,Vino blanco,23000
Vino,Merlot,25000
Entradas,Maíz sencillo,22000
Entradas,Maíz especial,28000
Entradas,Nachos,18000
Entradas,Cazuela pequeña,23000
Entradas,Cazuela grande,28500
Entradas,Tabla de queso,60000
Entradas,Combinado ibérico,75000
Cafés,Expreso,5000
Cafés,Americano,7000
Cafés,Capuchino,8500
Cafés,Moka caliente,9000
Cafés,Carajillo amaretto,11000
Cafés,Carajillo whisky,14000
Cafés,Carajillo vino,15000
Cafés,Carajillo coñac,11000
Cafés,Carajillo ron,9500
Cafés,Latte macchiato,15000
Cafés,Irlandés,15000
Cafés,Café helado,13000
Cafés,Moka frío,14500
Cafés,Frapuchino,15000
Cafés,Aromática tradicional,5000
Cafés,Aromática frutos rojos,7000
Cafés,Té chai,9000
Postres,Brownie,14000
Postres,Fresas chantilli,15500
Sándwiches,Ibérico,35000
Sándwiches,IL Cafeto Mixto,26500
Sándwiches,Tradicional,20000
Sándwiches,Hawaiano,20000
Sándwiches,Pollo,26000
Sándwiches,Pollo desmechado,23000
Sándwiches,Carne desmechada,26000
Sándwiches,Bacon,25000
Sándwiches,Vegetariano,22000
Sándwiches,Atún,26000
Sándwiches,Cerdo,25000
Carnes,Brocheta de cerdo,36000
Carnes,Pechuga gratinada,40000
Carnes,Cañón,39000
Carnes,Milanesa,39000
Carnes,Solomito,42000
Carnes,Salmón,47000
Ensaladas,Ensalada en bowl,30000
Adiciones,Adición queso,5000
Adiciones,Champiñones,5000
Adiciones,Tocineta,7000
Bebidas,Limonada natural,8500
Bebidas,Limonada lychee,14500
Bebidas,Coco,15000
Bebidas,Cereza,14000
Bebidas,Hierbabuena,10000
Bebidas,Piña hierbabuena,13000
Bebidas,Jugo agua,7500
Bebidas,Jugo leche,9000
Bebidas,Avena,11500
Bebidas,Milo frío,10500
Bebidas,Botella agua,6000
Bebidas,Soda michelada,9000
Bebidas,Soda saborizada,14000
Bebidas,Batido de proteína,18000
